yearsofexperience,yearsatcompany,basesalary,gender,Amazon,Apple,Facebook,Google,Microsoft,Business Analyst,Data Scientist,Hardware Engineer,Human Resources,Management Consultant,Marketing,Mechanical Engineer,Product Designer,Product Manager,Recruiter,Sales,Software Engineer,Software Engineering Manager,Solution Architect,Technical Program Manager
12,2,142000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,118000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,4,210000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,140000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,126000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,1,180000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2,134000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,1,156000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,2,160000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,7,155000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,2,215000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2,130000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,10,160000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,2,160000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,3,132000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,7,160000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,125000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,13,201000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,16100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,145000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,130000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,5,156000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,124000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1,134000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,8,170000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,10,155000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,1,134000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,3,215000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,107000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,10,210000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,3,247000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,3,115000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,105000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,122000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,3,162000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,3,160000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,11,164000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,1,191000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,4,135000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,1,145000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
